,plant_name,AEA Reporter ID,acep_region,_merge
157,Kobuk,SR-94,,annual_ops_only
121,"Haines, Covenant Life",SR-71,,annual_ops_only
299,"Thorne Bay, Kasaan",SR-176,,annual_ops_only
316,University of Alaska,SR-210,,annual_ops_only
177,Lower Kalskag,SR-107,,annual_ops_only
81,"Dot Lake, Dot Lake Village",SR-55,,annual_ops_only
39,"Bethel, Oscarville",SR-28,,annual_ops_only
315,Unisea Inc,SR-209,,annual_ops_only
125,Hollis,SR-73,,annual_ops_only
332,"Wrangell, City of ",SR-200,,annual_ops_only
127,Homer Electric Assn Inc,SR-5,,annual_ops_only
182,Matanuska Electric Assn Inc,SR-8,,annual_ops_only
159,Kodiak Electric Assn Inc,SR-7,,annual_ops_only
312,Unalaska,SR-185,,annual_ops_only
156,Klukwan,SR-93,,annual_ops_only
310,U S Army-Ft Wainwright,SR-208,,annual_ops_only
309,U S Air Force-Eielson AFB,SR-201,,annual_ops_only
154,Klawock,SR-92,,annual_ops_only
306,Tununak,SR-182,,annual_ops_only
149,Ketchikan Public Utilities,SR-6,,annual_ops_only
70,"Copper Valley Elec Assn, Inc",SR-192,,annual_ops_only
297,Tetlin,SR-175,,annual_ops_only
64,Chugach Electric Assn Inc,SR-3,,annual_ops_only
267,"Sitka, City & Borough of",SR-193,,annual_ops_only
186,Metlakatla Power & Light,SR-195,,annual_ops_only
33,Barrow Utilities & Electric Cooperative Inc.,SR-194,,annual_ops_only
260,"Seward, City of ",SR-199,,annual_ops_only
227,"Petersburg, City of ",SR-198,,annual_ops_only
7,Alaska Electric G & T Coop Inc,SR-204,,annual_ops_only
6,Alaska Electric & Energy Coop,SR-211,,annual_ops_only
14,Alyeska Seafoods Inc,SR-206,,annual_ops_only
203,Nightmute,SR-123,,annual_ops_only
113,Golden Valley Elec Assn Inc,SR-4,,annual_ops_only
209,Nome,SR-127,,annual_ops_only
285,TDX North Slope Generating Co,SR-10,,annual_ops_only
8,Alaska Electric Light&Power Co,SR-1,,annual_ops_only
18,Anchorage Mun Light and Power,SR-2,,annual_ops_only
278,Southeast Alaska Power Agency,SR-212,,annual_ops_only
232,Pitkas Point,SR-141,,annual_ops_only
196,Napakiak,SR-117,,annual_ops_only
23,"Arctic Utilities, Inc",SR-197,,annual_ops_only
193,"NUI Energy Brokers, Inc",SR-207,,annual_ops_only
222,Paxson Inn and Lodge,SR-9,,annual_ops_only
9,Alaska Energy Authority,SR-205,,annual_ops_only
138,JBER Landfill Gas Power Plant,,Railbelt,aetr_gen_only
139,Jarvis Street,,Coastal,aetr_gen_only
137,International,,Railbelt,aetr_gen_only
263,Sheldon Point,,Rural Remote,aetr_gen_only
136,Industrial Plant,,Coastal,aetr_gen_only
106,Galena Electric Utility,,Rural Remote,aetr_gen_only
108,George M Sullivan Generation Plant 2,,Railbelt,aetr_gen_only
117,Green Lake,,Coastal,aetr_gen_only
110,Goat Lake,,Coastal,aetr_gen_only
111,Goat Lake Hydro,,Coastal,aetr_gen_only
275,Solomon Gulch,,Coastal,aetr_gen_only
112,Gold Creek,,Coastal,aetr_gen_only
272,Snake River,,Rural Remote,aetr_gen_only
273,Snettisham,,Coastal,aetr_gen_only
123,Healy,,Railbelt,aetr_gen_only
277,Southcentral Power Project,,Railbelt,aetr_gen_only
122,Hank Nikkels Plant 1,,Railbelt,aetr_gen_only
276,South Fork,,Coastal,aetr_gen_only
120,Haines,,Coastal,aetr_gen_only
119,Gwitchyaa Zhee,,Rural Remote,aetr_gen_only
274,Soldotna,,Railbelt,aetr_gen_only
266,Silvis,,Coastal,aetr_gen_only
131,Humpback Creek,,Coastal,aetr_gen_only
166,Kotzebue Hybrid,,Rural Remote,aetr_gen_only
146,Kasidaya Creek Hydro,,Coastal,aetr_gen_only
220,Orca,,Coastal,aetr_gen_only
212,Northway,,Rural Remote,aetr_gen_only
211,North Pole,,Railbelt,aetr_gen_only
226,Petersburg,,Coastal,aetr_gen_only
205,Nikiski Combined Cycle,,Railbelt,aetr_gen_only
204,Nikiski Co-Generation,,Railbelt,aetr_gen_only
228,Pillar Mountain,,Coastal,aetr_gen_only
201,Newhalen,,Rural Remote,aetr_gen_only
